3IINFOLTD,EQ,M,2025120,30.62
507645,EQ,M,2025120,15656.40
516098,EQ,M,2025120,12.84
524488,EQ,M,2025120,4.85
543207,EQ,M,2025120,16.26
DEEPAKNTR,EQ,M,2025120,2363.28
ENIL,EQ,M,2025120,177.92
HITECH,EQ,M,2025120,121.96
KELLTONTEC,EQ,M,2025120,155.12
MANAKSTEEL,EQ,M,2025120,73.24
OSIAHYPER,EQ,M,2025120,17.54
PAGEIND,EQ,M,2025120,58440.00
PCBL,EQ,M,2025120,503.04
SEMAC,EQ,M,2025120,535.20
SRF,EQ,M,2025120,3761.40
SUNDARMHLD,EQ,M,2025120,626.94
TATASTEEL,EQ,M,2025120,192.65
THOMASCOTT,EQ,M,2025120,439.92
VIKASECO,EQ,M,2025120,2.99
VSSL,EQ,M,2025120,324.96
530095,EQ,M,2025120,0.37
531080,EQ,M,2025120,42.34
537750,EQ,M,2025120,280.68
CUMMINSIND,EQ,M,2025120,4037.52
DOLPHIN,EQ,M,2025120,489.12
EMBDL,EQ,M,2025120,148.54
FINOPB,EQ,M,2025120,351.50
HINDPETRO,EQ,M,2025120,504.36
HYUNDAI,EQ,M,2025120,2551.20
IDEA,EQ,M,2025120,8.69
JAIBALAJI,EQ,M,2025120,157.64
JPPOWER,EQ,M,2025120,21.56
MOTILALOFS,EQ,M,2025120,1030.62
OLAELEC,EQ,M,2025120,51.79
PHOENIXLTD,EQ,M,2025120,1952.88
PRECAM,EQ,M,2025120,246.43
SONATSOFTW,EQ,M,2025120,492.72
ZUARIIND,EQ,M,2025120,345.48
504351,EQ,M,2025120,1.90
505690,EQ,M,2025120,2255.76
517170,EQ,M,2025120,54.37
539594,EQ,M,2025120,7.67
ANDHRSUGAR,EQ,M,2025120,100.16
AVTNPL,EQ,M,2025120,77.24
DECCANCE,EQ,M,2025120,1078.50
DHAMPURSUG,EQ,M,2025120,185.93
NAGREEKCAP,EQ,M,2025120,31.16
NAVKARCORP,EQ,M,2025120,133.72
NORTHARC,EQ,M,2025120,289.34
PIXTRANS,EQ,M,2025120,1886.52
SWIGGY,EQ,M,2025120,486.30
TIJARIA,EQ,M,2025120,9.89
TORNTPHARM,EQ,M,2025120,3867.00
512149,EQ,M,2025120,1.08
521238,EQ,M,2025120,213.36
530439,EQ,M,2025120,8.70
ASTEC,EQ,M,2025120,1166.16
BIRLAMONEY,EQ,M,2025120,225.37
CDSL,EQ,M,2025120,2096.16
DIXON,EQ,M,2025120,17178.00
IMAGICAA,EQ,M,2025120,83.20
MAHSEAMLES,EQ,M,2025120,912.72
POWERMECH,EQ,M,2025120,3786.24
PROSTARM,EQ,M,2025120,162.47
PVSL,EQ,M,2025120,156.35
RADAAN,EQ,M,2025120,5.10
TECHM,EQ,M,2025120,2028.24
522195,EQ,M,2025120,5611.62
BEPL,EQ,M,2025120,140.27
BIL,EQ,M,2025120,836.46
EIDPARRY,EQ,M,2025120,1223.16
EXICOM,EQ,M,2025120,235.42
GRSE,EQ,M,2025120,3579.24
IOLCP,EQ,M,2025120,113.96
KRONOX,EQ,M,2025120,224.71
MUTHOOTFIN,EQ,M,2025120,3099.84
POONAWALLA,EQ,M,2025120,539.58
QPOWER,EQ,M,2025120,811.26
SAGILITY,EQ,M,2025120,50.06
SUBROS,EQ,M,2025120,1128.90
UNIVCABLES,EQ,M,2025120,922.38
512441,EQ,M,2025120,0.86
531930,EQ,M,2025120,43.82
AAVAS,EQ,M,2025120,2331.12
AEROENTER,EQ,M,2025120,115.01
AMBER,EQ,M,2025120,8145.00
BAJAJCON,EQ,M,2025120,249.13
BALAMINES,EQ,M,2025120,2088.36
CGCL,EQ,M,2025120,204.90
GMRAIRPORT,EQ,M,2025120,101.84
HUBTOWN,EQ,M,2025120,280.62
IFCI,EQ,M,2025120,75.73
KALYANKJIL,EQ,M,2025120,664.02
KITEX,EQ,M,2025120,341.10
KNRCON,EQ,M,2025120,271.62
LIQUIDBEES,EQ,M,2025120,1199.99
RAMCOCEM,EQ,M,2025120,1260.48
SHREECEM,EQ,M,2025120,36126.00
TARC,EQ,M,2025120,236.24
UPL,EQ,M,2025120,763.80
WENDT,EQ,M,2025120,10197.00
503681,EQ,M,2025120,155439.25
505710,EQ,M,2025120,126.50
523411,EQ,M,2025120,1657.56
538834,EQ,M,2025120,43.42
541735,EQ,M,2025120,3.58
ASTERDM,EQ,M,2025120,715.20
BALPHARMA,EQ,M,2025120,120.05
ETERNAL,EQ,M,2025120,318.22
EXIDEIND,EQ,M,2025120,466.62
HEXT,EQ,M,2025120,1025.52
HFCL,EQ,M,2025120,105.02
INOXWIND,EQ,M,2025120,208.68
JOCIL,EQ,M,2025120,189.88
MANINFRA,EQ,M,2025120,214.56
PDMJEPAPER,EQ,M,2025120,141.28
SADBHAV,EQ,M,2025120,15.50
SCI,EQ,M,2025120,266.72
UNIONBANK,EQ,M,2025120,177.74
524414,EQ,M,2025120,22.61
532402,EQ,M,2025120,16.93
534733,EQ,M,2025120,34.00
ABMINTLLTD,EQ,M,2025120,77.24
AFSL,EQ,M,2025120,298.30
ALOKINDS,EQ,M,2025120,24.44
ANUP,EQ,M,2025120,3138.12
ASHAPURMIN,EQ,M,2025120,512.88
