MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NC,1065NFL27,SEC RE NCD 10.65% SR.IV,      1006.00,      1006.00,      1006.00,      1006.00,      1006.00,                  1434556.00,1426, ,10,      1017.00,       922.00
N,NC,729NHAI26,TAX FREE 7.29% SR. IB,      1064.90,      1063.00,      1064.00,      1063.00,      1064.00,                   107388.00,101, ,4,      1219.90,      1016.10
N,NC,863IRFC29,BOND 8.63% PA TF TII-SIIA,      1300.00,      1130.05,      1130.05,      1130.05,      1130.05,                     1130.05,1, ,1,      1300.00,      1099.35
N,ND,762NTPC35F,TFB 7.62% 2035 SR. 3B,      1208.00,      1208.00,      1208.00,      1205.00,      1208.00,                   208849.00,173, ,11,      1293.00,      1150.00
N,ND,76IGT26,SEC RE NCD 7.60% SR.II,      1010.44,      1010.40,      1010.40,      1010.40,      1010.40,                     1010.40,1, ,1,      1065.00,       871.00
N,ND,875IHFL29,SEC RE NCD 8.75% SR.VII,       958.00,       960.00,       960.00,       960.00,       960.00,                    52800.00,55, ,2,      1009.00,       880.00
N,ND,876HUDCO28,8.76% TAX FREETRI SR2B,      1145.10,      1145.10,      1145.10,      1145.10,      1145.10,                     6870.60,6, ,2,      1270.00,      1100.00
N,ND,970CAGL28,SEC RE NCD 9.70% SR VII,      1009.67,      1006.00,      1010.30,      1006.00,      1010.26,                   195791.40,194, ,3,      1110.90,       992.08
N,ND,CIFCZC25,SEC RE NCD SR 2,      1130.00,      1120.00,      1120.00,      1120.00,      1120.00,                   135520.00,121, ,5,      1130.00,      1011.20
N,NE,1039UCL26,UCL 10.39% SR II,       965.00,       965.00,      1000.38,       965.00,       980.00,                     6876.14,7, ,5,      1000.38,       956.00
N,NE,10IIFL28A,UNSE RE NCD 10% SR.I,       991.87,       997.00,       997.00,       995.00,       995.00,                   109470.00,110, ,3,      1111.00,       913.00
N,NE,769NHAI31,TAX FREE 7.69% SR. IIB,      1152.10,      1152.10,      1152.10,      1152.10,      1152.10,                     1152.10,1, ,1,      1210.00,      1050.60
N,NE,901HUDCO34,9.01% TAX FREETRII SR3B,      1289.00,      1298.90,      1299.00,      1283.00,      1298.72,                   548999.60,423, ,18,      1397.90,      1211.00
N,NE,915SCL26,UNS RED NCD 9.15% SR.IX,      1029.00,      1030.00,      1030.00,      1027.00,      1028.11,                  1041604.00,1012, ,16,      1049.80,       874.00
N,NE,CAGL28,SEC RE NCD SR VIII,      1150.00,      1187.09,      1187.09,      1187.09,      1187.09,                    16619.26,14, ,1,      1195.00,      1045.00
N,NF,1015UCL27,UCL 10.15% SR III,       985.01,       990.00,       990.00,       990.00,       990.00,                      990.00,1, ,1,      1049.00,       955.00
N,NF,888REC29,BOND8.88% PA TF TR II S2B,      1147.20,      1145.16,      1145.16,      1145.16,      1145.16,                   950482.80,830, ,1,      1215.00,      1111.14
N,NF,905LTF27,SERENCD 9.05% SR.VI OPII,      1043.00,      1045.00,      1045.00,      1045.00,      1045.00,                   104500.00,100, ,1,      1145.00,      1015.30
N,NF,96IIFL28A,UNSE RE NCD 9.6% SR.II,       973.75,       982.00,       986.80,       978.00,       978.02,                   817003.60,832, ,23,       995.00,       910.01
N,NG,IIFLZC28,UNSE RE NCD 0% SR.III,      1421.20,      1421.20,      1421.20,      1421.20,      1421.20,                   271449.20,191, ,2,      1445.00,      1112.10
N,NH,1050UCL28,UCL 10.50% SR V,      1005.00,       999.00,       999.00,       999.00,       999.00,                    99900.00,100, ,1,      1055.00,       965.00
N,NI,732IRFC25,TAX FREE  7.32% SR. 102 A,      1069.85,      1060.00,      1060.00,      1060.00,      1060.00,                    76320.00,72, ,2,      1089.68,      1000.00
N,NJ,753IRFC30,TAX FREE  7.53% SR. 103 A,      1137.90,      1137.90,      1137.90,      1131.01,      1133.01,                   229397.62,202, ,5,      1210.00,      1086.00
N,NJ,943ECL28,SEC RED NCD 9.43% SR. VI,       967.17,       975.00,       975.00,       972.00,       972.00,                   225854.00,232, ,4,       999.00,       821.00
N,NJ,SCLZC25D,SEC RE NCD SR III,      1083.01,      1150.25,      1150.25,      1053.00,      1053.00,                   105602.45,100, ,3,      1150.25,      1000.00
N,NK,750IRFC35,TAX FREE7.50% SR.104 A,      1209.50,      1210.00,      1210.00,      1208.00,      1208.20,                   550885.50,456, ,8,      1249.90,      1100.00
N,NK,985ECL28,SEC RED NCD 9.85% SR. VII,      1054.00,      1047.00,      1047.00,      1044.20,      1046.53,                    62792.00,60, ,2,      1066.85,       893.00
N,NL,797IGT31,SEC RE NCD 7.97% SR.VI,      1050.00,      1000.00,      1005.00,      1000.00,      1005.00,                   178509.00,178, ,3,      1104.80,       980.00
N,NL,842IIFL26,SEC RE NCD 8.42% SR.V,       986.05,       986.10,       986.10,       982.00,       982.00,                   242392.00,246, ,2,       996.10,       845.20
N,NO,764IRFC31,TAX FREE  7.64% SR. 108A,      1148.10,      1148.00,      1150.00,      1145.10,      1145.10,                   655333.81,570, ,4,      1180.00,      1088.30
N,NO,985SFIL28,SEC RE NCD 9.85% SR.VIII,       646.89,       550.50,       599.00,       550.50,       599.00,                    21515.50,36, ,5,      1110.00,       550.50
N,NR,1015ECL29,SEC RED NCD 10.15% SR. VI,       998.00,       997.00,       998.99,       994.02,       998.00,                   259503.60,260, ,5,      1170.00,       888.00
N,NR,IIFLZC26A,SEC RE NCD 0% SR.IV,      1199.00,      1199.00,      1199.00,      1199.00,      1199.00,                   119900.00,100, ,3,      1329.00,      1040.00
N,NS,865IIFL28,SEC RE NCD 8.65% SR.V,       970.00,       966.00,       967.20,       966.00,       967.16,                   609013.50,630, ,5,       990.00,       861.00
N,NT,9IIFL28A,SEC RE NCD 9% SR.VI,       999.28,      1005.00,      1005.00,       999.30,       999.30,                   143022.90,143, ,3,      1050.00,       922.60
N,NV,1003SCL30A,SEC RE NCD 10.03% SR X,       871.00,       871.00,       871.00,       871.00,       871.00,                    17420.00,20, ,1,       999.00,       686.00
N,NV,9IIFL26,IIFL 9% TR I SR I,       997.80,       997.20,       997.20,       996.00,       996.69,                   237213.60,238, ,2,       997.80,       990.00
N,NW,IIFL210425,IIFL TR I SR II,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                    10000.00,10, ,1,      1000.00,       977.00
N,NZ,965SCL25F,SEC RE NCD 10.25% SR XII,       890.00,       890.00,       890.00,       890.00,       890.00,                    22250.00,25, ,1,       968.69,       721.10
N,YL,94SFL28,SEC RED NCD 9.40% SR. V,      1118.00,      1034.00,      1040.00,      1034.00,      1037.33,                   440295.00,425, ,11,      1125.00,      1004.04
N,Z0,971SCL29,SEC RE NCD 9.71% SR VIII,       993.00,       970.00,       970.00,       970.00,       970.00,                     5820.00,6, ,1,      1000.00,       900.00
N,Z2,847SCL25,SEC RE NCD 9.30% SR.IV,      1067.95,      1055.20,      1055.20,      1055.20,      1055.20,                    52760.00,50, ,1,      1095.65,       861.00
N,Z5,955SCL27,SEC RE NCD 8.94% SR.VI,       980.00,       997.45,       997.45,       997.45,       997.45,                     9974.50,10, ,1,       997.55,       830.20
N,Z9,905SC24B,SEC RE NCD 9.15% SR.VIII,       971.00,       971.00,       971.00,       971.00,       971.00,                   197113.00,203, ,3,      1000.00,       815.45
N,Z9,97SFL26,SEC RED NCD 9.7% SR.VII,      1082.90,      1093.00,      1093.00,      1093.00,      1093.00,                   218600.00,200, ,1,      1122.00,      1011.21
