Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
26-JUN-2025,526570,868.40,851.40,0.0198,0.0201,0.0201,0.3840
26-JUN-2025,526574,26.89,25.90,0.0375,0.0386,0.0385,0.7355
26-JUN-2025,526586,511.10,504.55,0.0129,0.0227,0.0227,0.4337
26-JUN-2025,526588,16.30,16.45,-0.0092,0.0418,0.0417,0.7967
26-JUN-2025,526604,22.70,22.50,0.0088,0.0422,0.0421,0.8043
26-JUN-2025,526614,62.78,61.55,0.0198,0.0346,0.0345,0.6591
26-JUN-2025,526616,63.62,65.10,-0.0230,0.0249,0.0248,0.4738
26-JUN-2025,526622,0.59,0.59,0.0000,0.0265,0.0264,0.5044
26-JUN-2025,526628,52.89,50.38,0.0486,0.0253,0.0255,0.4872
26-JUN-2025,526638,130.00,131.05,-0.0080,0.0353,0.0352,0.6725
26-JUN-2025,526640,50.44,52.41,-0.0383,0.0409,0.0409,0.7814
26-JUN-2025,526654,174.15,174.15,0.0000,0.0350,0.0349,0.6668
26-JUN-2025,526703,548.50,549.45,-0.0017,0.0338,0.0337,0.6438
26-JUN-2025,526705,248.45,245.95,0.0101,0.0261,0.0261,0.4986
26-JUN-2025,526709,10.48,10.28,0.0193,0.0274,0.0274,0.5235
26-JUN-2025,526711,25.50,25.85,-0.0136,0.0363,0.0363,0.6935
26-JUN-2025,526717,171.50,175.00,-0.0202,0.0386,0.0386,0.7375
26-JUN-2025,526721,117.00,115.45,0.0133,0.0207,0.0207,0.3955
26-JUN-2025,526723,192.60,194.20,-0.0083,0.0294,0.0293,0.5598
26-JUN-2025,526727,29.31,29.14,0.0058,0.0345,0.0345,0.6591
26-JUN-2025,526731,320.15,323.25,-0.0096,0.0355,0.0354,0.6763
26-JUN-2025,526739,366.10,359.90,0.0171,0.0215,0.0215,0.4108
26-JUN-2025,526747,267.65,286.50,-0.0681,0.0272,0.0275,0.5254
26-JUN-2025,526751,18.93,18.93,0.0000,0.0306,0.0305,0.5827
26-JUN-2025,526755,5.31,5.35,-0.0075,0.0366,0.0365,0.6973
26-JUN-2025,526761,26.77,23.51,0.1299,0.0372,0.0383,0.7317
26-JUN-2025,526773,3.11,3.15,-0.0128,0.0329,0.0328,0.6266
26-JUN-2025,526775,714.55,711.05,0.0049,0.0352,0.0351,0.6706
26-JUN-2025,526783,4316.40,4313.90,0.0006,0.0294,0.0293,0.5598
26-JUN-2025,526795,5.44,5.44,0.0000,0.0250,0.0249,0.4757
26-JUN-2025,526813,12.82,13.30,-0.0368,0.0383,0.0383,0.7317
26-JUN-2025,526821,386.10,388.55,-0.0063,0.0312,0.0311,0.5942
26-JUN-2025,526827,47.02,46.70,0.0068,0.0322,0.0321,0.6133
26-JUN-2025,526839,16.00,16.00,0.0000,0.0456,0.0455,0.8693
26-JUN-2025,526841,27.39,26.68,0.0263,0.0315,0.0314,0.5999
26-JUN-2025,526847,32.05,32.94,-0.0274,0.0319,0.0319,0.6094
26-JUN-2025,526851,151.10,152.00,-0.0059,0.0323,0.0323,0.6171
26-JUN-2025,526853,75.85,75.10,0.0099,0.0327,0.0326,0.6228
26-JUN-2025,526859,1.05,1.05,0.0000,0.0340,0.0339,0.6477
26-JUN-2025,526861,144.85,145.80,-0.0065,0.0335,0.0335,0.6400
26-JUN-2025,526865,6.06,5.95,0.0183,0.0404,0.0403,0.7699
26-JUN-2025,526869,20.81,19.82,0.0487,0.0379,0.0380,0.7260
26-JUN-2025,526871,15.78,16.69,-0.0561,0.0407,0.0408,0.7795
