Sr. No,Symbol,Series,Security Name,From,To
1,DIVYADHAN,ST,DIVYADHAN RECYCLING INDUSTRIES LIMITED,10,5
2,BIKEWO,ST,BIKEWO GREEN TECH LIMITED,20,5
3,ZENITHSTL,BE,ZENITH STEEL PIPES & INDUSTRIES LIMITED,20,5
4,BROOKS,BE,BROOKS LABORATORIES LIMITED,5,2
5,DESTINY,ST,DESTINY LOGISTICS & INFRA LIMITED,5,2
6,ENSER,ST,ENSER COMMUNICATIONS LIMITED,5,2
7,HECPROJECT,BE,HEC INFRA PROJECTS LIMITED,5,2
8,TECHLABS,ST,TRIDENT TECHLABS LIMITED,5,2
