SYMBOL,SYMBOL P/E,ADJUSTED P/E
HATSUN,76.17,76.17
CAPLIPOINT,29.61,29.61
GOCLCORP,12.32,11.77
GULFOILLUB,16.80,16.80
SNOWMAN,569.84,569.84
SHARDACROP,24.07,24.07
SUPERHOUSE,19.70,49.14
CIGNITITEC,24.03,23.70
PDSL,23.34,23.34
INTELLECT,45.91,45.93
MONTECARLO,15.58,15.58
GOODLUCK,22.10,22.10
FCL,29.14,29.14
CAMLINFINE,,172.24
GULPOLY,45.81,45.81
APOLSINHOT,42.66,42.66
CCHHL,64.24,64.24
LAMBODHARA,20.65,20.65
GRPLTD,46.81,46.81
GENUSPAPER,170.52,170.52
MOLDTKPAC,38.37,38.37
GREENLAM,87.53,87.53
VISHNU,29.73,29.73
GANECOS,36.30,36.30
LINC,22.83,22.83
MENONBE,27.79,27.79
HESTERBIO,63.69,63.69
JMA,8.09,8.09
MANAKALUCO,27.40,27.40
MANAKSTEEL,42.74,40.75
MANAKCOAT,81.91,86.75
ZENTEC,57.15,57.15
IMAGICAA,49.69,48.65
INOXWIND,51.96,50.42
LFIC,18.20,18.20
BYKE,97.16,97.16
AVANTIFEED,18.14,18.14
VRLLOG,27.09,27.09
PRIVISCL,48.64,48.64
UFO,36.33,38.19
TPLPLASTEH,26.83,26.83
NILAINFRA,20.66,20.66
PNCINFRA,9.53,9.53
SKIPPER,38.70,38.70
ALANKIT,18.11,15.87
ORICONENT,231.09,
BALKRISHNA,43.58,
ADANIENSOL,114.17,40.16
SYNGENE,52.90,55.81
AYMSYNTEX,125.99,125.99
EMKAYTOOLS,5.39,5.39
RAMASTEEL,85.62,85.62
PKTEA,1024.64,1024.64
MUTHOOTCAP,11.71,11.71
SATIN,9.41,9.41
ARVSMART,25.73,25.73
POWERMECH,28.18,28.14
SHARDAMOTR,17.05,17.05
SHREEPUSHK,17.24,17.24
GUJGASLTD,27.50,27.50
SADBHIN,,5.26
IDFCFIRSTB,35.48,35.48
INDIGO,30.03,30.03
SHK,45.97,20.38
BALAXI,11.00,11.00
LUXIND,26.53,26.53
TTKHLTCARE,22.21,25.61
UMANGDAIRY,326.02,326.02
SALZERELEC,23.95,23.95
PILANIINVS,38.12,38.12
KRIDHANINF,0.67,252.74
LINCOLN,13.83,13.83
LALPATHLAB,47.10,47.10
ALKEM,26.19,26.19
NH,53.28,52.82
OCCL,38.43,38.43
PRECAM,36.40,78.04
TEAMLEASE,30.83,30.83
QUICKHEAL,382.41,382.41
HITECH,28.53,28.53
VIDHIING,48.35,48.35
BHAGERIA,21.47,21.47
NECCLTD,22.57,22.57
KELLTONTEC,21.16,21.16
SEQUENT,150.52,150.52
GOKULAGRO,18.28,18.28
SIMBHALS,3.56,3.56
KDDL,23.03,22.99
PDMJEPAPER,11.49,11.49
HCG,156.78,156.78
HECPROJECT,21.64,21.64
WEALTH,41.00,39.68
BHARATWIRE,20.78,20.78
INFIBEAM,32.16,32.75
THYROCARE,46.51,46.51
CROMPTON,40.50,40.50
SAGARDEEP,28.74,28.74
PARAGMILK,22.90,22.90
SHRIPISTON,20.69,20.69
UNITEDPOLY,25.24,25.24
ARMANFIN,35.46,35.46
ALBERTDAVD,28.13,28.13
BLS,28.17,28.17
ASPINWALL,16.01,16.01
SALONA,42.55,42.55
PREMEXPLN,108.84,108.84
CONTROLPR,12.60,12.60
INCREDIBLE,15.72,15.72
DAMODARIND,20.57,20.57
MGL,13.72,13.71
MOLDTECH,38.91,38.91
POKARNA,17.82,17.82
COMPINFO,0.46,0.46
VIJIFIN,138.71,138.71
GPTINFRA,21.78,21.78
QUESS,22.85,12.39
GROBTEA,13.29,13.29
KKVAPOW,20.33,20.33
SOMICONVEY,34.69,34.69
LLOYDSENGG,80.81,80.81
LTIM,35.01,35.01
GATECH,26.20,26.20
MINDTECK,25.86,24.56
ADVENZYMES,27.34,27.34
DBL,8.68,11.97
SPAL,22.21,22.21
NDGL,56.81,54.09
RBLBANK,20.02,20.02
BIGBLOC,289.61,289.61
MBAPL,63.85,63.85
CUPID,37.46,37.46
LTTS,36.57,36.57
GNA,13.01,13.01
CROWN,11.14,30.93
ICICIPRULI,77.42,77.42
MARATHON,20.17,20.17
HPL,37.51,37.51
JAIPURKURT,20.14,20.14
MASKINVEST,1406.34,1406.34
SAKAR,45.56,45.42
AURDIS,17.00,17.00
ARTNIRMAN,73.73,73.73
ENDURANCE,46.35,46.94
GICL,61.56,61.57
NIRAJISPAT,17.72,17.72
MAZDA,19.90,19.90
PNBHOUSING,14.55,14.55
VBL,59.06,59.06
KINGFA,34.54,34.54
AGROPHOS,13.97,13.97
PODDARMENT,15.17,15.17
NBIFIN,76.13,76.13
JETFREIGHT,17.45,17.45
SFL,86.37,118.95
HEADSUP,15.43,15.43
TCIEXP,33.46,33.46
LAURUSLABS,101.94,101.94
ITDC,62.53,62.53
HISARMETAL,33.03,33.03
LIBAS,13.85,13.85
PROLIFE,13.30,13.30
SPCENET,32.90,32.90
CAPTRUST,157.19,157.19
MAHESHWARI,9.26,9.26
BHANDARI,17.00,17.00
BSE,91.54,91.54
MCL,31.82,31.82
PRICOLLTD,32.47,32.47
STEELCITY,10.09,10.09
KRISHANA,36.05,36.05
GLOBAL,12.49,12.49
NITIRAJ,43.52,43.52
SANGINITA,42.88,42.88
AKASH,52.55,52.55
DMART,102.78,102.78
TASTYBITE,109.05,109.05
INTENTECH,13.14,13.14
AIRAN,20.16,20.16
AKSHARCHEM,42.69,42.69
ARIHANTSUP,28.59,28.59
URJA,399.47,399.47
LAXMICOT,104.32,
EIFFL,95.92,95.92
NRAIL,32.29,32.29
SHANKARA,31.79,31.79
CREATIVE,19.81,19.81
WIPL,49.81,49.81
FOCUS,51.55,51.55
DEVIT,16.37,16.37
SIKKO,40.62,40.62
MKPL,34.55,34.55
DOLLAR,23.10,23.32
INFOBEAN,24.79,24.25
SCHAND,13.81,13.81
BHAGYANGR,18.79,18.79
PSPPROJECT,51.45,51.45
STARCEMENT,52.16,52.16
GLOBE,11.33,12.48
TEJASNET,27.59,27.59
ERIS,59.13,59.13
CDSL,69.61,69.61
GTPL,27.09,27.16
AUBANK,28.55,28.55
DYNPRO,23.68,23.68
STEELXIND,39.39,39.39
SALASAR,51.07,60.48
UNIVASTU,18.56,18.56
AVADHSUGAR,11.62,11.62
MAGADSUGAR,8.60,8.60
GANGESSECU,29.77,29.77
THEINVEST,21.85,21.85
TOTAL,15.55,15.55
OPTIEMUS,94.87,94.87
WEWIN,29.86,29.86
COCHINSHIP,67.86,67.86
SMSLIFE,19.41,19.41
VAISHALI,158.83,158.83
GEEKAYWIRE,10.12,10.12
SERVOTECH,103.24,103.24
ABCAPITAL,23.79,23.79
APEX,190.53,190.53
PASHUPATI,80.95,80.95
BRNL,1.25,1.25
DIXON,70.50,105.12
DCAL,1203.94,162.64
LASA,,51.11
MATRIMONY,25.28,25.28
CHOLAHLDNG,8.05,8.05
CAPACITE,14.78,14.78
ICICIGI,80.93,80.93
WORTH,13.32,13.32
MPTODAY,5.58,5.75
SBILIFE,76.54,76.54
RMDRIP,58.04,58.04
DPWIRES,16.28,16.28
AARVI,16.22,16.22
TIRUPATI,33.31,33.31
AIROLAM,59.80,59.80
RKEC,9.42,9.42
GATECHDVR,4.23,4.23
GOLDSTAR,104.52,104.52
JASH,39.90,39.84
RELIABLE,7.15,7.15
BETA,42.36,38.24
TIRUPATIFL,70.24,70.24
OMFURN,19.32,19.32
GODREJAGRO,42.08,42.08
TCPLPACK,23.87,23.87
MASFIN,17.86,17.86
IEX,40.66,40.66
DPABHUSHAN,29.88,29.88
GICRE,9.48,9.48
TIINDIA,52.56,52.27
NAM-INDIA,39.15,39.15
NIACL,31.44,31.44
IFGLEXPOR,42.37,42.37
KHADIM,50.36,50.36
5PAISA,18.99,18.99
HDFCLIFE,93.36,93.36
AISL,10.93,10.93
PULZ,,715.58
SILVERTUC,41.14,41.14
ZODIAC,35.84,35.84
FELIX,26.57,26.57
ICEMAKE,54.19,54.19
DNAMEDIA,5.25,5.25
SHRADHA,17.51,17.51
INNOVANA,99.81,99.81
SHALBY,1031.21,1031.21
TOUCHWOOD,24.32,24.32
ONEPOINT,41.27,41.27
SMVD,1.41,
SHIVATEX,21.52,21.52
AJOONI,31.04,31.04
MOKSH,14.71,14.71
BCONCEPTS,59.76,59.76
SILLYMONKS,81.20,81.20
APOLLO,107.34,107.34
NEWGEN,51.74,51.74
AMBER,82.40,82.40
GALAXYSURF,30.73,30.73
SINTERCOM,530.07,530.07
MHHL,17.94,17.94
SOUTHWEST,29.34,29.34
ARVEE,83.16,83.16
ASTERDM,86.21,77.79
GMMPFAUDLR,100.29,51.24
HGINFRA,13.45,13.74
HINDCON,46.73,46.73
SARVESHWAR,26.13,26.13
TARACHAND,19.87,19.87
BDL,134.52,134.52
MDL,44.89,43.93
SUNDARMHLD,146.63,146.63
BANDHANBNK,10.68,10.68
HAL,38.51,38.53
URAVIDEF,301.31,301.31
MITTAL,28.54,28.54
SANDHAR,23.46,24.98
GIRIRAJ,33.84,33.84
KAPSTON,27.25,27.25
MIDHANI,74.11,74.11
LEMONTREE,45.17,45.17
AVG,20.23,20.23
MMP,20.82,20.82
NARMADA,17.25,17.25
PIGL,21.37,21.37
CHEMFAB,,253.68
BSHSL,58.67,58.67
MAHICKRA,39.67,39.67
AAKASH,66.73,66.73
GODHA,11.53,11.53
SOFTTECH,383.05,383.05
ORIENTELEC,56.41,56.41
E2E,105.49,105.49
INDOSTAR,71.19,71.19
SIRCA,42.79,42.79
SVLL,393.16,393.16
LATTEYS,68.77,68.76
SONAMLTD,29.64,29.64
ADANIGREEN,99.81,84.59
OSWALSEEDS,36.44,36.44
PRITI,26.25,26.25
ACCURACY,28.48,28.48
SOLARA,4254.15,4254.15
FINEORG,37.21,37.21
RITES,32.53,32.60
VARROC,132.69,40.21
GANGAFORGE,92.66,54.20
REPL,24.18,24.18
AVROIND,73.54,70.92
HDFCAMC,44.28,44.28
TEMBO,12.93,13.03
CREDITACC,36.16,36.16
AARON,47.59,47.59
SIGIND,11.92,11.92
SUMIT,38.72,38.72
LAGNAM,14.54,14.54
RPPL,13.74,13.74
AKG,58.11,58.11
IRCON,28.62,28.62
AHLADA,24.72,24.72
SPECTRUM,178.62,178.62
AAVAS,25.94,25.94
GRSE,65.23,65.23
KRITIKA,26.56,26.56
PARIN,55.40,55.26
VINNY,12.52,12.52
MARINE,79.94,79.94
IRISDOREME,45.52,45.52
ATGL,109.08,109.08
TECHNOE,46.26,46.26
SHUBHLAXMI,16.45,16.45
UNIPARTS,19.83,19.83
SHRIRAMPPS,32.81,32.81
TREJHARA,104.20,104.20
NILASPACES,32.45,32.45
AWHCL,18.52,23.37
DALBHARAT,56.19,49.08
RPSGVENT,29.94,8.59
SURANI,361.81,53.80
CHALET,140.87,140.87
MSTCLTD,8.39,15.02
OSIAHYPER,12.98,12.98
ANUP,45.16,45.16
ARVINDFASN,193.18,193.18
PAR,8.92,8.92
KHFM,51.47,51.47
RVNL,70.21,70.21
POLYCAB,47.39,47.39
METROPOLIS,60.81,60.81
KPITTECH,42.44,42.44
SWSOLAR,86.55,86.55
NEOGEN,127.17,208.71
EMAMIPAP,22.26,22.26
VCL,17.88,17.88
CONFIPET,21.37,21.56
PPL,11.49,11.49
DGCONTENT,10.69,10.69
INDIAMART,26.63,26.63
ATMASTCO,24.22,24.22
ABINFRA,146.27,142.34
OAL,38.79,38.79
DCMNVL,55.39,136.63
SATIA,7.48,7.48
WEL,113.83,113.83
AFFLE,71.33,71.33
CHEMCON,29.63,29.63
WESTLIFE,959.50,959.50
DOLATALGO,8.15,8.15
HNDFDS,56.31,56.31
UJJIVANSFB,13.16,13.16
MAZDOCK,56.55,56.55
IRCTC,46.70,47.85
SAFARI,73.58,73.58
DCI,27.58,27.58
360ONE,46.20,43.50
IIFLCAPS,15.14,15.14
HPIL,90.42,90.42
SAMHI,56.66,46.17
FLUOROCHEM,69.80,69.80
GREENPANEL,45.30,45.30
KUANTUM,8.85,8.85
APOLLOPIPE,55.53,55.53
CHEMBOND,8.35,8.62
MGEL,21.41,19.46
ROUTE,18.62,17.91
SBICARD,48.15,48.15
HOMEFIRST,37.26,37.26
SIGMA,20.00,20.00
CSBBANK,11.59,11.59
ASCOM,19.72,19.69
EQUITASBNK,52.55,52.55
EASEMYTRIP,34.77,34.77
ROSSARI,27.56,27.56
PRINCEPIPE,87.89,87.89
LIKHITHA,16.65,16.65
PARKHOTELS,42.26,42.26
ARTEMISMED,41.79,41.79
PATANJALI,45.51,45.51
SUMICHEM,50.42,50.42
LGHL,150.86,153.04
ATALREAL,61.08,61.08
ASALCBR,23.77,23.77
MAHEPC,56.58,56.58
UNIVPHOTO,8.25,8.25
BAFNAPH,44.29,29.20
COHANCE,141.16,141.16
POWERINDIA,227.93,227.93
STOVEKRAFT,49.98,49.98
BHARTIHEXA,62.57,72.09
KSOLVES,23.72,23.72
RAJRATAN,35.55,35.55
HAPPSTMNDS,53.64,51.56
AARTISURF,32.29,47.46
GLAND,41.99,41.99
BOROLTD,55.76,55.76
NDRAUTO,52.84,52.84
MAXHEALTH,111.95,106.80
PAVNAIND,71.71,71.71
AAATECH,30.97,30.97
KALYANKJIL,78.07,78.07
BTML,30.85,30.85
SHAREINDIA,12.18,12.18
UNIDT,30.80,30.80
SIGACHI,30.45,30.45
ANGELONE,22.09,22.09
ADL,897.82,
NIRAJ,19.66,19.43
CAMS,44.94,44.94
SURYODAY,13.05,13.05
ROML,31.41,31.41
UTIAMC,20.13,20.13
RAILTEL,45.32,42.89
BECTORFOOD,58.06,58.06
KHAICHEM,581.10,581.10
ORCHPHARMA,37.26,37.26
NURECA,333.34,333.34
INDIGOPNTS,39.37,39.37
HERANBA,537.50,537.50
LXCHEM,46.53,46.53
MTARTECH,93.85,93.85
FAIRCHEMOR,55.89,55.89
ANURAS,77.91,77.91
KANPRPLA,41.26,38.60
ISGEC,31.18,31.18
RUBFILA,14.22,14.22
STYLAMIND,22.64,22.64
PAKKA,19.83,19.83
CLSEL,16.81,16.81
PARTYCRUS,42.77,42.77
CARYSIL,38.73,38.73
MANCREDIT,149.26,137.71
SHAILY,82.91,82.91
MODISONLTD,21.18,20.63
FIBERWEB,9.44,9.44
BCLIND,12.51,12.51
BHAGCHEM,275.81,275.81
SBCL,38.01,38.01
AADHARHFC,20.92,20.92
SMCGLOBAL,10.96,10.96
QMSMEDI,11.42,11.42
NPST,613.13,613.13
ARIHANTCAP,16.53,17.17
SIDDHIKA,14.62,14.62
NAZARA,150.27,150.27
IPL,30.80,30.80
GENCON,19.25,19.25
LODHA,52.51,52.51
HLEGLAS,50.05,50.05
BESTAGRO,8.22,8.22
VMARCIND,20.32,20.32
SONACOMS,49.85,48.67
UTKARSHBNK,111.33,111.33
DRCSYSTEMS,17.36,17.36
PARAS,104.42,104.42
CRAFTSMAN,65.23,60.59
DODLA,32.51,32.51
JUBLINGREA,46.95,46.93
ROLEXRINGS,23.82,22.37
WALPAR,16.42,16.42
SHYAMMETL,25.92,25.92
KIMS,62.97,64.19
JSFB,10.69,10.69
TATVA,385.09,385.09
CLEAN,60.39,60.39
AILIMITED,38.83,38.83
ALIVUS,25.53,25.53
ABSLAMC,24.14,24.14
DEEPINDS,,16.03
ETERNAL,474.02,474.02
BEWLTD,18.22,18.22
PIXTRANS,19.27,19.27
MEDIASSIST,38.09,38.09
WINDLAS,31.17,31.17
CARTRADE,53.38,53.38
KRSNAA,29.35,29.35
EQUIPPP,345.48,345.48
APTUS,21.47,21.47
SUPRIYA,28.73,28.73
ANMOL,14.31,14.31
BMETRICS,13.31,13.31
ABCOTS,155.08,155.08
VIJAYA,68.99,68.59
ACUTAAS,55.44,55.44
SANSERA,39.08,39.08
BAJAJHCARE,39.07,39.07
PRITIKAUTO,12.71,12.71
NIVABUPA,73.43,73.43
AAREYDRUGS,43.83,43.83
GRINFRA,12.27,12.25
INTLCONV,6.46,6.46
DUGLOBAL,103.33,103.33
STEELCAS,30.80,30.80
HPAL,25.66,25.66
UGROCAP,14.91,14.91
STARHEALTH,39.14,39.14
KPIGREEN,30.25,30.06
YUKEN,62.61,62.61
SGIL,48.66,48.66
ANANDRATHI,57.12,57.12
SJS,33.83,33.83
FINOPB,26.92,26.92
POLICYBZR,239.43,265.59
NYKAA,791.88,791.88
AWL,28.99,28.99
MONARCH,15.92,15.92
SAPPHIRE,632.31,512.50
QUADPRO,33.58,33.58
PRUDENT,57.36,57.36
EPIGRAL,21.98,21.98
NUVOCO,570.16,570.16
GOCOLORS,51.15,51.15
IXIGO,99.17,106.21
CMSINFO,21.64,21.64
COASTCORP,57.12,57.12
TARSONS,69.08,69.08
MEDPLUS,70.44,70.44
TEGA,50.14,50.14
RATEGAIN,25.06,25.06
MANORG,38.88,38.88
LATENTVIEW,49.11,49.11
METROBRAND,88.01,88.01
MICEL,132.31,132.31
EMCURE,35.77,35.43
PASUPTAC,12.54,12.54
FOODSIN,21.72,21.72
PARADEEP,24.46,24.46
JAINAM,31.51,31.51
MAPMYINDIA,63.34,63.34
3IINFOLTD,8.01,8.01
TMB,5.92,5.92
DYNAMIC,9.91,9.92
DESTINY,53.81,53.81
MANYAVAR,50.02,50.02
GANESHBE,18.93,10.17
DMCC,30.52,30.52
MEDICAMEQ,86.37,86.37
EMIL,35.41,35.41
SHIVALIK,40.75,40.75
GODAVARIB,17.57,17.57
UMAEXPORTS,56.04,56.04
WAAREEENER,131.15,130.51
DATAPATTNS,70.43,70.43
JSLL,58.30,58.30
COOLCAPS,78.70,78.69
MEDANTA,62.91,58.52
AFSL,12.08,12.08
MALLCOM,14.12,14.12
NIDAN,14.41,14.41
IRIS,40.75,40.75
ASIANENE,37.43,37.43
SMLT,41.11,41.11
NRL,32.86,32.86
RADIANTCMS,14.42,14.42
GPTHEALTH,24.15,24.15
CHOICEIN,87.06,87.06
EUROBOND,23.26,23.26
HARIOMPIPE,19.97,19.97
GRWRHITECH,28.89,28.89
CAPITALSFB,10.00,10.00
DELHIVERY,186.79,180.80
DCMSRIND,14.53,14.53
RAJRILTD,109.60,109.60
EMUDHRA,73.12,73.12
DYCL,35.30,35.30
FIVESTAR,20.67,20.67
STARTECK,28.61,26.03
VIRINCHI,467.87,467.87
SBC,38.39,38.39
ELDEHSG,36.57,36.57
ANUHPHR,84.03,84.03
TIMESCAN,7.64,7.64
MADHAVBAUG,24.36,20.63
SEJALLTD,45.24,45.24
MHLXMIRU,13.82,13.82
RELCHEMQ,34.00,34.00
GATEWAY,8.85,11.99
SYRMA,52.05,51.54
ZIMLAB,44.41,44.41
UDAICEMENT,115.39,115.39
JTLIND,29.49,29.49
CAMPUS,71.74,71.74
RAINBOW,61.21,61.21
TBOTEK,61.46,64.65
VENUSPIPES,30.50,30.50
AETHER,96.71,56.95
ROTO,53.88,53.88
MEGASTAR,81.89,81.89
SANATHAN,87.94,87.94
INDOBORAX,15.74,15.74
LANDMARK,124.44,
RACE,58.91,58.91
ETHOSLTD,71.69,71.69
DREAMFOLKS,18.77,18.77
MSUMI,43.61,43.61
KNAGRI,7.41,7.41
LEMERITE,102.63,102.63
DHARMAJ,30.47,30.47
HARSHA,40.22,41.11
KRISHIVAL,171.85,171.85
OBCL,50.16,50.16
GMRP&UI,4.27,
KCK,382.78,382.78
LICI,12.46,12.46
INDOAMIN,21.09,21.09
KRISHNADEF,57.37,57.37
PROPEQUITY,16.57,16.57
SWARAJ,13.66,13.66
AMEYA,18.85,18.85
INOXGREEN,294.39,294.39
FEDFINA,19.37,19.37
ACI,48.36,41.01
BIKAJI,92.26,92.26
RITCO,18.24,18.24
SADHNANIQ,45.45,45.45
SURAJEST,17.49,17.49
VEEKAYEM,19.10,19.10
RILINFRA,19.04,19.04
CHEVIOT,11.13,11.13
MUKKA,19.37,19.37
HMAAGRO,19.07,19.07
MWL,22.55,24.69
MEDICO,41.10,41.10
CMRSL,15.89,15.89
KFINTECH,69.19,69.19
YATHARTH,38.81,38.81
DCXINDIA,82.52,82.52
YATRA,37.26,37.26
ARISTO,19.27,19.27
KAYNES,133.39,133.39
SABAR,9.79,9.79
JFLLIFE,14.63,14.63
SWASTIK,24.58,24.58
FIDEL,28.28,28.28
AXITA,398.24,1003.35
PLAZACABLE,91.68,91.68
SENCO,35.65,35.65
RADHIKAJWE,17.62,17.62
SPLPETRO,42.41,42.41
RAMRAT,43.12,43.12
VIVIANA,38.52,38.50
CSLFINANCE,10.68,10.68
KORE,22.33,22.33
GOYALALUM,78.13,78.13
RUSTOMJEE,36.15,36.15
KANDARP,50.40,49.56
SPORTKING,13.24,13.24
ALLETEC,25.92,25.92
AIIL,10.89,10.89
ABDL,62.08,62.08
MANORAMA,74.17,74.17
ISHAN,105.65,102.96
ARABIAN,10.07,9.31
INNOVACAP,38.66,38.66
GRMOVER,35.90,35.90
SYNCOMF,36.94,36.95
CEWATER,24.83,24.83
DJML,49.18,49.18
BAHETI,33.87,33.87
SULA,36.62,36.62
SIGNATURE,173.80,173.80
ANNAPURNA,27.73,30.32
KRITINUT,15.54,15.54
KALAMANDIR,24.98,24.98
VITAL,38.97,38.97
RAMAPHO,23.07,23.07
PPLPHARMA,1474.95,1474.95
AVALON,88.88,88.88
CONCORDBIO,50.91,50.91
GODIGIT,77.16,77.16
GRCL,84.35,84.35
BAIDFIN,10.28,10.28
PHANTOMFX,17.14,17.14
IPSL,37.04,37.04
KAMOPAINTS,50.73,50.73
DOLLEX,18.55,18.55
BLUEJET,50.05,50.05
MVGJL,12.52,12.52
UYFINCORP,300.01,300.01
SCPL,17.32,17.32
SUKHJITS,15.23,15.23
ARHAM,20.98,20.98
FROG,16.60,16.58
MANKIND,47.57,47.57
SKYGOLD,35.97,35.97
ARIHANTACA,38.01,38.01
AEROENTER,13.32,13.30
DIVGIITTS,73.61,73.61
EIEL,58.57,58.57
PRITIKA,46.93,46.93
ANLON,38.26,38.26
MOTISONS,46.38,46.38
VELS,2.35,2.35
CMNL,39.24,39.24
SRIVASAVI,15.35,15.35
DIACABS,178.14,177.70
IKIO,50.56,50.56
MANOMAY,15.81,15.81
FAZE3Q,35.15,35.15
UMA,19.69,19.69
LLOYDSME,54.93,54.93
AARTIPHARM,28.83,28.83
RHL,32.82,32.82
SAHYADRI,17.28,17.28
SAHANA,31.87,31.87
NINSYS,33.15,33.15
DUCOL,57.66,57.66
HOMESFY,64.32,64.32
SBFC,33.61,33.61
ASMS,243.83,1759.15
HYBRIDFIN,14.63,13.94
SHERA,15.98,15.98
INDGN,34.27,34.27
ZAGGLE,64.45,64.45
GANDHAR,20.34,20.34
MCON,34.81,34.81
HONASA,139.83,139.83
RISHABH,51.62,51.65
IRMENERGY,26.22,26.22
SAH,1328.33,1328.33
DENEERS,33.23,33.23
JGCHEM,23.90,23.90
CYIENTDLM,55.18,55.18
NIRMAN,6.33,6.33
AKI,40.95,42.90
MASTER,20.64,20.64
YCCL,15.48,15.48
RPTECH,9.51,9.60
LORDSCHLO,62.35,62.35
SYSTANGO,15.26,15.26
RATNAVEER,17.93,17.93
PATTECH,48.59,48.59
MOS,46.68,46.68
SECMARK,37.42,37.42
AUROIMPEX,11.91,11.91
SOTAC,14.94,14.94
ATAM,19.49,19.49
AFIL,9.59,9.59
SHRITECH,15.31,15.31
INFOLLION,37.85,37.85
LAL,36.49,36.49
URBAN,12.66,12.66
INFINIUM,57.62,57.62
AARTECH,84.53,84.53
POCL,37.33,37.33
KRISHCA,33.08,33.08
ESFL,258.56,258.56
AATMAJ,124.63,124.63
DOLPHIN,33.37,33.37
TATATECH,42.20,42.20
REMUS,28.15,28.15
NOVAAGRI,16.82,16.82
REDTAPE,42.00,42.00
ASHOKAMET,5.92,5.92
PENTAGON,17.81,17.81
CELLPOINT,15.20,
SEL,39.33,39.33
GREENCHEF,24.17,24.17
PROV,47.50,47.50
PTCIL,366.14,361.60
NETWEB,90.94,90.94
PYRAMID,24.80,24.80
AEROFLEX,49.55,49.55
EMSLIMITED,18.90,18.90
EFACTOR,15.05,15.05
GHCLTEXTIL,16.00,16.00
MONOPHARMA,14.59,14.59
VPRPL,34.86,34.86
UDS,16.31,16.31
DENTALKART,60.45,60.45
CLSL,15.38,15.38
SSFL,13.46,13.46
KIRLPNU,43.95,43.37
ATL,31.37,29.39
BALUFORGE,36.74,36.74
RRKABEL,49.09,49.24
COMMITTED,31.73,31.73
JSWINFRA,43.05,43.05
SANGANI,37.98,37.98
JLHL,48.38,48.38
NUVAMA,27.64,27.64
DRONE,260.22,260.22
GLOBALPET,33.24,33.24
YASHO,405.58,405.58
SERVICE,37.87,37.87
KEL,15.42,15.42
PRAMARA,33.12,33.12
NIITMTS,22.86,21.99
VINSYS,19.07,19.07
ZEAL,12.47,12.47
RACLGEAR,164.70,164.70
WCIL,80.13,80.13
ARVINDPORT,13.02,13.02
SAROJA,13.99,13.99
SINDHUTRAD,33.96,33.96
UNIHEALTH,17.21,17.21
ORIANA,94.63,94.63
ASKAUTOLTD,40.91,40.91
CHAVDA,14.97,14.97
TRANSTEEL,20.47,20.47
SANDUMA,16.18,16.18
VLEGOV,,370.23
PLADAINFO,8.24,8.24
LLOYDSENT,365.70,365.70
OLIL,32.97,32.97
SUNREST,38.37,38.37
RBZJEWEL,15.01,15.01
MASTERTR,69.23,69.23
KODYTECH,57.83,57.83
KARNIKA,45.35,45.35
AKANKSHA,57.43,56.83
SCML,11.31,11.31
SAAKSHI,62.44,62.44
MUFIN,61.32,61.32
HIGREEN,47.18,47.18
PLATIND,30.56,30.56
MUFTI,16.11,16.11
FLAIR,23.22,23.22
CELLECOR,28.42,28.42
SRGHFL,19.79,19.79
INDIFRA,2236.26,2236.26
JIOFIN,157.97,157.97
MCLOUD,189.70,189.70
CPS,1103.58,1103.58
MADHUSUDAN,14.27,17.94
NEWJAISA,21.96,21.96
GOYALSALT,21.15,21.15
TICL,7.27,4.06
WOMANCART,19.34,19.34
BLSE,31.41,31.41
HOLMARC,34.71,34.71
TREL,15.51,31.25
MARCO,34.52,34.52
DIAMINESQ,142.20,142.20
VISHNUINFR,13.71,13.71
KONTOR,11.78,11.78
RKSWAMY,51.98,51.98
EPACK,57.28,57.28
HAPPYFORGE,34.20,34.20
IBLFL,63.15,63.15
INDIASHLTR,25.03,25.03
CELLO,35.12,35.12
CANARYS,20.06,20.06
DIGIDRIVE,15.13,15.13
DOMS,71.14,71.14
MAITREYA,97.14,97.14
DIGIKORE,41.30,41.30
LANCORHOL,35.65,35.65
AMNPLST,33.49,33.49
SARTELE,36.00,36.00
VINYAS,79.63,79.63
JNKINDIA,65.31,65.31
AFFORDABLE,224.21,224.21
PARAGON,21.41,21.41
ARKADE,108.50,108.50
INOXINDIA,48.13,49.31
GRAPHISAD,10.77,10.44
JYOTICNC,81.35,79.59
STANLEY,67.25,67.25
BAJEL,174.67,174.67
DEEM,17.34,17.34
APS,28.38,28.38
ENTERO,45.77,45.77
TECHLABS,86.76,86.76
SIGNPOST,31.29,31.29
BABAFP,26.65,26.65
SHREEOSFM,16.07,16.07
PRESSTONIC,90.19,90.19
DEEDEV,49.83,49.83
MEGATHERM,31.61,31.61
SSDL,55.00,55.53
BRACEPORT,30.15,30.15
VR,55.52,55.08
KLL,12.14,12.14
ZENITHDRUG,20.83,20.83
SJLOGISTIC,13.74,13.74
PURVFLEXI,10.54,10.54
SRM,20.31,20.31
AZAD,119.07,119.07
PRATHAM,20.12,20.12
KONSTELEC,21.25,21.25
JUNIPER,89.64,89.64
KRYSTAL,13.30,13.30
VSTL,24.74,24.74
DURLAX,10.03,10.03
INM,31.33,31.33
MAXESTATES,309.35,309.35
CGRAPHICS,23.81,23.81
ACCENTMIC,16.81,16.81
COMSYN,31.84,31.84
RETAIL,214.92,214.92
WTICAB,14.69,14.69
