Symbol,Security,From Series,To Series,Change Date,Remarks
SHYAMTEL,SHYAM TELECOM LIMITED,EQ,BE,26-JUN-2025,"GSM STAGE - 0"
ZENITHSTL,ZENITH STEEL PIPES & INDUSTRIES LIMITED,EQ,BE,26-JUN-2025,"-"
DIVYADHAN,DIVYADHAN RECYCLING INDUSTRIES LIMITED,SM,ST,26-JUN-2025,"-"
BIKEWO,BIKEWO GREEN TECH LIMITED,SM,ST,26-JUN-2025,"-"
ONELIFECAP,ONELIFE CAPITAL ADVISORS LIMITED,EQ,BE,26-JUN-2025,"-"
QUADPRO,QUADPRO ITES LIMITED,SM,ST,26-JUN-2025,"-"
